asset_id,name,asset_class,region_code,capacity_mtpa,capacity_mw,status,operator,commissioning_year,source_url,note,capacity_bcm_y,capacity_basis,capacity_year,capacity_source,capacity_status
lng-yamal,Yamal LNG (Sabetta),lng_terminal,RU-YAN,16.5,,operational,Novatek / CNPC / TotalEnergies,2017,https://en.wikipedia.org/wiki/Liquefied_natural_gas_industry_in_Russia,"LNG liquefaction/export terminal, Sabetta, Yamalo-Nenets. Placed at admin-region precision.",,,,,
lng-arctic2,Arctic LNG 2 (Gydan),lng_terminal,RU-YAN,19.8,,partly_operational_sanctioned,Novatek / TotalEnergies / CNPC / CNOOC / Japan Arctic LNG,2024,https://en.wikipedia.org/wiki/Liquefied_natural_gas_industry_in_Russia,"Gydan Peninsula, Yamalo-Nenets. Partly operational Jan 2024; hit by sanctions. Admin-region precision.",,,,,
lng-portovaya,Portovaya LNG,lng_terminal,RU-LEN,1.5,,operational,Gazprom,2022,https://en.wikipedia.org/wiki/Liquefied_natural_gas_industry_in_Russia,"Baltic coast near Vyborg, Leningrad Oblast. Started Sept 2022. Admin-region precision.",,,,,
lng-vysotsk,Cryogas-Vysotsk LNG,lng_terminal,RU-LEN,0.67,,operational,Novatek / Gazprombank,2019,https://en.wikipedia.org/wiki/Liquefied_natural_gas_industry_in_Russia,"Vysotsk, Leningrad Oblast. Small-scale LNG, two trains. Admin-region precision.",,,,,
lng-ustluga-baltic,Baltic LNG (Ust-Luga),lng_terminal,RU-LEN,13.0,,under_construction,Gazprom / RusGazDobycha,,https://en.wikipedia.org/wiki/Liquefied_natural_gas_industry_in_Russia,Ust-Luga LNG plant under construction (delayed to ~2026). Distinct from the Ust-Luga gas-condensate complex. Admin-region precision.,,,,,
gpp-orenburg,Orenburg Gas Processing Plant,gas_processing,RU-ORE,,,operational,Gazprom Pererabotka,1974,https://en.wikipedia.org/wiki/Orenburg_gas_field,"One of the world's largest gas processing complexes, ~45 bcm/y raw-gas design capacity; also Russia's main helium plant. Capacity is bcm/y (not summed with LNG MTPA). Admin-region precision.",45,raw_gas_design,,https://en.wikipedia.org/wiki/Orenburg_gas_field,sourced
gpp-astrakhan,Astrakhan Gas Processing Plant,gas_processing,RU-AST,,,operational,Gazprom Pererabotka,1986,https://www.akm.ru/eng/news/astrakhan-gpp-processed-over-5-4-bcm-of-gas-1-9-mt-of-unstable-gas-condensate/,"Large sour-gas processing complex at the Astrakhan gas-condensate field, ~12 bcm/y gas + condensate. Capacity is bcm/y (not summed with LNG MTPA). Admin-region precision.",12,gas_plus_condensate,,https://www.akm.ru/eng/news/astrakhan-gpp-processed-over-5-4-bcm-of-gas-1-9-mt-of-unstable-gas-condensate/,sourced
lng-kaliningrad-fsru,Marshal Vasilevskiy FSRU (Kaliningrad),lng_terminal,RU-KGD,,,operating_idled,Gazprom Flot,2019,https://www.gem.wiki/Marshal_Vasilevskiy_FSRU,LNG IMPORT / regasification (~3.76 MTPA). A different function from liquefaction; capacity kept in the note and never summed into a liquefaction denominator. Admin-region precision.,,,,,
lng-magnitogorsk,Magnitogorsk small-scale LNG,lng_terminal,RU-CHE,0.04,,operational,Novatek-Chelyabinsk,2020,https://www.nsenergybusiness.com/news/novatek-launched-small-scale-lng-plant-in-magnitogorsk/,"Small-scale liquefaction (motor-fuel LNG), ~40,000 t/y. Immaterial to the liquefaction base but real and operating. Admin-region precision.",,,,,
gpp-sosnogorsk,Sosnogorsk Gas Processing Plant,gas_processing,RU-KO,,,operational,Gazprom Pererabotka,,https://www.gazprom.com/press/news/2004/december/article63032/,~3.0 bcm/y raw gas. Capacity is bcm/y raw gas (not summed with LNG MTPA). Admin-region precision.,3.0,raw_gas,,https://www.gazprom.com/press/news/2004/december/article63032/,sourced
