incident_id,effect_type,evidence_kind,source_quality,value_numeric,value_unit,currency,cost_year,as_of_date,value_text,source_url
cur-2026-08-20-taman-500kv,power_outage,observed,national_regional,90,minutes,,,2026-08-20,"After the strike on the Taman 500 kV substation, power failed around 01:45 in Simferopol, Sevastopol, Kerch, Feodosia and Yalta; Russian-installed Sevastopol authorities said restrictions were lifted after about 90 minutes, though the grid stayed unstable and some settlements remained without power. No consumer count is given.",https://euromaidanpress.com/2026/08/20/ukraine-strikes-russian-oil-crimea-power-gateway/
cur-orsk-2026-08-11,production_halt,observed,major_wire,115200,bbl_d,,,2026-08-11,"Reuters: Orsknefteorgsintez ceased processing on 11 Aug after a fire from the drone attack. Nameplate ~5.76 Mt/yr (~115,200 bbl/d); in 2024 it processed 4.2 Mt of crude. (Moscow Times separately cites 6.6 Mt/yr; conflict preserved.)",https://www.ukrinform.net/rubric-economy/4153533-orsk-oil-refinery-halts-processing-after-ukrainian-drone-attack-reuters.html
cur-orsk-2026-08-11,fuel_shortage,observed,government,80,pct,,,2026-08-13,"Moscow Times: with the refinery fully shut, the Orenburg governor said the region would rely on fuel trucked in, and that 80% of the region's 287 filling stations were operational, priority to emergency vehicles.",https://www.themoscowtimes.com/2026/08/13/orsk-refinery-shutters-for-6-months-after-ukrainian-attack-a93489
cur-orsk-2026-08-11,production_halt,estimated,government,6,months,,,2026-08-13,"Moscow Times: the Orenburg governor said repairs could take up to six months because shrapnel damaged key infrastructure hard to replace under Western sanctions. A projection, not an observed restart.",https://www.themoscowtimes.com/2026/08/13/orsk-refinery-shutters-for-6-months-after-ukrainian-attack-a93489
gazprom-neftekhim-salavat:2026-07-13,throughput_reduction,observed,national_regional,2.7,pct,,,2026-07-15,"Meduza (industry data): the 14 July overnight strike disabled both primary crude distillation units at Salavat -- CDU-6 (17,140 t/day) and CDU-4 (11,430 t/day) -- taking the complex offline. The plant was ~2.7% of Russia's total refining throughput in 2024.",https://meduza.io/en/news/2026/07/15/gazprom-neftekhim-salavat-handles-2-7-percent-of-russia-s-oil-refining-a-single-overnight-drone-attack-took-it-offline
cur-2026-06-24-orenburg-gpp,throughput_reduction,observed,national_regional,25,pct,,,2026-06-26,"World Oil: after the 24 June strike forced the Orenburg GPP to suspend intake of Karachaganak raw gas, output at Kazakhstan's Karachaganak field was cut by more than a quarter -- 34,000 t/day normally to 25,000 t/day (~180,000 bbl/d). Field oil and gas output are linked. (Interfax gives different figures; both preserved.)",https://www.worldoil.com/news/2026/6/26/drone-attack-cuts-output-at-kazakhstan-s-karachaganak-oil-field/
cur-2026-06-24-orenburg-gpp,export_interruption,observed,national_regional,9000,mt/day,,,2026-06-30,"Interfax (citing KazMunayGas): Karachaganak output was cut by 9,000 t/day on 26 June -- to ~28,000 from ~31,000 -- after the Orenburg plant incident, and as of 30 June was not yet fully restored. (Baseline differs from World Oil; both reported unmerged.)",https://interfax.com/newsroom/top-stories/118259/
cur-2025-02-03-astrakhan-gpp,production_halt,observed,major_wire,3,mt,,,2025-02-03,"Reuters (via Ukrinform): the early-Feb 2025 strike halted fuel output at Gazprom's Astrakhan GPP; the damaged gas-condensate unit has ~3 Mt/yr capacity, and industry sources said it might only resume in weeks or months. (Value is the affected unit's annual capacity; the halt is the observed effect.)",https://www.ukrinform.net/rubric-economy/4039690-russias-astrakhan-gas-processing-plant-halts-operations-after-drone-attack-reuters.html
perm-refinery:2026-04-29,production_halt,observed,major_wire,,,,,2026-05-13,"Reuters (via RBC-Ukraine): the CDU-4 (AVT-4) primary unit at LUKOIL's Perm refinery was out from 30 April after the 29 April strike/fire; a 7 May strike shut three more primary units and completely halted processing. The refinery ran ~12.6 Mt of crude in 2024 (~250,000 bbl/d).",https://newsukraine.rbc.ua/news/russia-s-perm-oil-refinery-shuts-down-after-1778671540.html
syzran-refinery:2026-04-18,production_halt,observed,major_wire,170000,bbl_d,,,2026-04-18,"Hydrocarbon Processing (citing Reuters/industry): Rosneft's Syzran refinery halted processing after the 18 April attack, shutting primary unit CDU-6, which is >70% of plant capacity. Capacity 8.5 Mt/yr (~170,000 bbl/d).",https://www.hydrocarbonprocessing.com/news/2026/04/russias-syzran-oil-refinery-halts-operations-after-april-18-drone-attack/
volgograd-refinery:2026-06-01,production_halt,observed,national_regional,40,pct,,,2026-05-29,"Militarnyi: LUKOIL's Volgograd refinery suspended operations after the strike (this source dates it to the night of 29 May 2026 -- 2-3 days before the incident's 2026-06-01 label; likely the same event). Primary distillation unit No. 1 (~40% of capacity) stopped, as did units 5 and 6. Capacity 14.8 Mt/yr of products (~300,000 bbl/d).",https://militarnyi.com/en/news/volgograd-oil-refinery-halts-operations/
,war_effort_macro,observed,major_wire,25,pct,,,2026-05-20,"Reuters (via Moscow Times): as of 20 May 2026, refineries fully halted or significantly reduced after drone strikes totalled >83 Mt/yr of capacity (~238,000 t/day) -- nearly a quarter of Russia's total refining -- accounting for >30% of gasoline output and ~25% of diesel output.",https://www.themoscowtimes.com/2026/05/20/drone-strikes-force-central-russian-refineries-to-halt-or-cut-output-reuters-a92805
,war_effort_macro,observed,major_wire,16,refineries,,,2025-09-30,"Kyiv Independent (citing the Financial Times): Ukrainian strikes had hit at least 16 of Russia's 38 oil refineries since Aug 2025, pushing Russian diesel exports to their lowest level since 2020.",https://kyivindependent.com/russia-extends-ban-on-gasoline-exports-limits-diesel-exports-amid-ukrainian-fuel-disruptions/
,war_effort_macro,observed,major_wire,,,,,2025-09-30,"Moscow Times: Russia extended its gasoline export ban (exporters and producers) through 31 Dec 2025, and barred resellers from selling diesel, marine fuel and other gas oils abroad through end-2025 (direct producers exempt) -- a policy response to strike-driven domestic fuel tightness.",https://www.themoscowtimes.com/2025/09/30/russia-extends-gasoline-export-ban-restricts-diesel-shipments-a90676
,war_effort_macro,estimated,major_wire,20,pct,,,2025-09-30,"Moscow Times: a Kommersant estimate put the gasoline shortage at 20% (~400,000 t/month). The same article reports as observed fact that two Far East regions and annexed Crimea introduced ration cards for buying gasoline.",https://www.themoscowtimes.com/2025/09/30/russia-extends-gasoline-export-ban-restricts-diesel-shipments-a90676
