subject,relation,object,at_point,substance,source_quality,source_url,note,subject_id,object_id,node_id
SRTO_TORZHOK,connects_to,YAMAL_EUROPE,Torzhok hub,gas,secondary_citing_operator,https://www.gem.wiki/Northern_Tyumen_Regions_(SRTO)%E2%80%93Torzhok_Gas_Pipeline,GEM citing Gazprom,SRTO_TORZHOK,YAMAL_EUROPE,NODE_TORZHOK
SRTO_TORZHOK,connects_to,TORZHOK_MINSK_IVATSEVICHI,Torzhok hub,gas,secondary_citing_operator,https://www.gem.wiki/Northern_Tyumen_Regions_(SRTO)%E2%80%93Torzhok_Gas_Pipeline,,SRTO_TORZHOK,,NODE_TORZHOK
YAMAL_EUROPE,enters_network_of,POLAND,Kondratki,gas,tso_primary,https://www.gaz-system.pl/en/transmission-system/transmission-infrastructure/transit-gas-pipeline-system.html,GAZ-SYSTEM is designated operator of the Polish section,YAMAL_EUROPE,,NODE_KONDRATKI
YAMAL_EUROPE,enters_network_of,GERMANY,Gorzyca / Mallnow,gas,tso_primary,https://www.gaz-system.pl/en/transmission-system/transmission-infrastructure/transit-gas-pipeline-system.html,,YAMAL_EUROPE,,NODE_MALLNOW
YAMAL_EUROPE,connects_to,YAGAL_NORD,Mallnow CS,gas,secondary_citing_operator,https://www.gem.wiki/Yamal-Europe_Gas_Pipeline,,YAMAL_EUROPE,,NODE_MALLNOW
BOVANENKOVO_UKHTA_1,connects_to,UKHTA_TORZHOK_1,Sosnogorskaya CS,gas,secondary_citing_operator,https://www.gem.wiki/Ukhta-Torzhok_(Yamal)_Gas_Pipeline,GEM citing archived Gazprom project page,BOVANENKOVO_UKHTA_1,UKHTA_TORZHOK_1,NODE_SOSNOGORSKAYA
BOVANENKOVO_UKHTA_2,connects_to,UKHTA_TORZHOK_2,Sosnogorskaya CS,gas,secondary_citing_operator,https://www.gem.wiki/Ukhta-Torzhok_(Yamal)_2_Gas_Pipeline,,BOVANENKOVO_UKHTA_2,UKHTA_TORZHOK_2,NODE_SOSNOGORSKAYA
UKHTA_TORZHOK_1,connects_to,POCHINKI_GRYAZOVETS,Novogryazovetskaya CS 17,gas,secondary_citing_operator,https://www.gem.wiki/Ukhta-Torzhok_(Yamal)_Gas_Pipeline,route ends at Gryazovets despite the name,UKHTA_TORZHOK_1,,NODE_NOVOGRYAZOVETSKAYA
UKHTA_TORZHOK_1,connects_to,GRYAZOVETS_VYBORG_1,Novogryazovetskaya CS 17,gas,secondary_citing_operator,https://www.gem.wiki/Ukhta-Torzhok_(Yamal)_Gas_Pipeline,,UKHTA_TORZHOK_1,,NODE_NOVOGRYAZOVETSKAYA
UKHTA_TORZHOK_2,connects_to,GRYAZOVETS_VYBORG_2,Novogryazovetskaya CS 17,gas,secondary_citing_operator,https://www.gem.wiki/Ukhta-Torzhok_(Yamal)_2_Gas_Pipeline,,UKHTA_TORZHOK_2,,NODE_NOVOGRYAZOVETSKAYA
