incident_id,recovery_status,recovery_kind,source_confidence,source_quality,observed_date,observed_days,partial_operations_resumed_at,partial_or_full,est_lower_days,est_central_days,est_upper_days,estimate_basis,estimate_method,what_source_establishes,source_types,source_urls
kuibyshev-refinery:2026-06-09,substantially_restored,unit_restarted,medium,major_wire,2026-08-21,72,,substantial,,,,,,"Reuters industry sources: Rosneft's Kuibyshev refinery (struck 9-10 June 2026, one episode) resumed operations on 21 August 2026 after major repairs that began 1 July -- ~72 days after the disruption. Establishes a restart to operation, not proven full-capacity reconstitution. A further 28 Aug 2026 strike is after this dataset's as-of date.",news_agency|news_outlet,https://www.worldenergynews.com/news/sources-say-that-rosneft-kuibyshev-refinery-stopped-775624|https://www.ukrinform.net/rubric-ato/4132597-kuibyshev-oil-refinery-halts-processing-after-drone-attack-reuters.html
saratov-oil-refinery:2026-05-30,substantially_restored,unit_restarted,medium,major_wire,2026-06-21,22,,substantial,,,,,,"Reuters sources: Rosneft's Saratov refinery resumed operations in the second half of June 2026 after a brief shutdown following the ~31 May strike (~3 weeks). Establishes a restart to operation. Saratov was struck again on 8 July 2026 -- a separate, later incident that this record does not resolve.",news_agency|news_outlet,https://oilprice.com/Latest-Energy-News/World-News/Russia-Scrambles-to-Restore-Fuel-Supplies-as-Refineries-Resume-Operations.html
tuapse-refinery-tuapse-oil-terminal:2025-01-28,fully_reconstituted,primary_unit_repaired,medium,major_wire,2025-05-06,98,,full,,,,,,"Reuters (via industry sources, reported 6 May 2025): the primary crude unit CDU-12 was repaired by late April and Tuapse resumed processing around 6 May 2025 -- roughly three months (~98 days). Establishes substantial return of the primary refining unit. Tuapse was struck again later in 2025-2026; those are separate incidents.",news_agency|news_outlet,https://kyivindependent.com/reuters-tuapse-refinery-hit-by-drone-resumes-work-after-3-months-of-repairs/
ryazan-refinery:2025-01-24,partial_restart,partial_operations_resumed,medium,major_wire,,18,2025-02-11,partial,,,,,,"Reuters/Euromaidan: after the 24 January 2025 strike Ryazan remained idle ~18 days and PARTIALLY resumed oil processing and rail fuel loading on 11 February 2025. Establishes a partial restart only -- explicitly not full reconstitution -- so it updates recovery state and records the observed restart date but does not drive the decay curve to the residual. Ryazan was struck many more times through 2025-2026, each a separate incident.",news_agency|news_outlet,https://euromaidanpress.com/2025/02/25/russias-ryazan-oil-refinery-halts-operations-after-ukrainian-drone-strike-yesterday/
omsk-refinery:2026-07-06,impaired,,medium,major_wire,,,,,150,180,210,Industry source cited by Reuters: repairs to the damaged CDU-10 (~38% of plant capacity) would take at least half a year,expert_statement,Reuters industry source estimated Omsk's damaged CDU-10 would take at least half a year to repair. A credible sourced estimate (medium confidence): its central value drives the modelled horizon for this incident. No restart reported as of the as-of date.,news_agency|news_outlet,https://www.themoscowtimes.com/2026/07/07/russias-largest-oil-refinery-halts-production-after-drone-attack-sources-say-a93190|https://www.rferl.org/a/ukrainian-drones-hit-omsk-oil-refinery-for-the-first-time/33798604.html
moscow-refinery:2026-06-18,impaired,,low,national_regional,,,,,180,210,270,Aggregated industry sources via the Wikipedia strike table expected the refinery offline at least 6 months after the June 2026 strikes,expert_statement,"Aggregated, indirect sourcing expected the Moscow Refinery offline at least 6 months after the June 2026 strikes. LOW confidence: the estimate is displayed but is NOT used to drive the decay curve, which falls back to the modelled sector horizon.",encyclopaedia|news_outlet,https://en.wikipedia.org/wiki/Deep_strike_campaign
cur-2025-02-03-astrakhan-gpp,substantially_restored,unit_restarted,medium,major_wire,2025-08-31,205,,substantial,,,,,,Reuters/industry sources: the 2-3 Feb 2025 drone strike disabled a processing unit; the damaged unit resumed operations at the end of August 2025 (~205 days). The plant was struck again later - a separate incident.,news_agency|news_outlet,https://www.gasprocessingnews.com/news/2025/02/russias-astrakhan-gas-plants-fuel-output-halted-for-months-by-drone/|https://newsukraine.rbc.ua/news/russia-s-astrakhan-gas-processing-plant-shuts-1758691434.html
cur-2026-06-24-orenburg-gpp,partial_restart,partial_throughput_resumed,medium,major_wire,,,2026-07-05,partial,,,,,,"Interfax: by early July 2026 the plant was accepting only ~28% of normal Karachaganak gas, with no timeline for full resumption - a partial restart, not full reconstitution.",news_agency|news_outlet,https://interfax.com/newsroom/top-stories/118281/
cur-2025-08-unecha,partial_restart,flow_rerouted,high,major_wire,,,2025-08-28,partial,,,,,,"Moscow Times/Reuters: crude flows to Hungary and Slovakia resumed ~28 Aug 2025, about a week after the strikes -- but this is FLOW restoration via the pipeline network; the Unecha pumping station itself was reported destroyed and not reconstituted, so it is a partial restart, not a facility restoration.",news_agency|news_outlet,https://www.themoscowtimes.com/2025/08/28/russian-oil-supplies-to-hungary-and-slovakia-resume-after-ukrainian-strikes-a90368
cur-2025-11-23-shatura,partial_restart,interim_restart,high,major_wire,,,2025-11-24,partial,,,,,,"Reuters/Izvestia: the plant resumed and power/water were functioning by 24 Nov 2025, heat maintained via mobile modular boiler houses until fully stabilized - an interim restart, not full reconstitution.",news_agency|news_outlet,https://www.usnews.com/news/world/articles/2025-11-24/russian-heating-and-power-plant-back-on-line-after-ukrainian-drone-attack
port-of-primorsk:2025-09-12,partial_restart,partial_throughput_resumed,high,major_wire,,,2025-09-15,partial,,,,,,Baird Maritime/Bloomberg: loadings resumed within days of the 12 Sep 2025 fire but ran behind schedule and at reduced capacity - a partial restart.,news_agency|news_outlet,https://www.bairdmaritime.com/shipping/ports/russias-primorsk-port-continues-oil-loadings-after-drone-attack-albeit-with-delays
port-of-primorsk:2026-03-22,partial_restart,partial_throughput_resumed,high,major_wire,,,2026-03-26,partial,,,,,,Baird Maritime: the port resumed oil and fuel loadings on 26 Mar 2026 at lower capacity than normal because of damage - a partial restart.,news_agency|news_outlet,https://www.bairdmaritime.com/shipping/ports/russia-restarts-primorsk-oil-exports-at-reduced-capacity-following-drone-attack
cur-sheskharis-2025-11-14,substantially_restored,throughput_restored,high,major_wire,2025-11-16,2,,substantial,,,,,,Moscow Times/Reuters (Kazakh Energy Minister): almost all recovery work was completed and pumping halted only briefly before resuming ~16 Nov 2025 (~2 days).,news_agency|news_outlet,https://www.themoscowtimes.com/2025/11/17/novorossiysk-oil-terminal-resumes-operations-after-ukrainian-attack-a91140
cur-2026-08-20-taman-500kv,partial_restart,grid_reenergised,medium,national_regional,,,2026-08-20,partial,,,,,,"After the 20 Aug 2026 strike on the 500 kV Taman substation (through which all four Kerch energy-bridge lines pass), the Russian-installed head of Sevastopol said power restrictions in the affected Crimean cities were lifted after ~90 minutes but the grid remained unstable. This is emergency-switching restoration of supply, NOT confirmed repair of the damaged substation; renewed Crimea outages the next night are consistent with the hub not being reconstituted. observed_days left blank: the node itself was not restored.",news_outlet,https://euromaidanpress.com/2026/08/20/ukraine-strikes-russian-oil-crimea-power-gateway/
