candidate_id,proposed_date,region_code,asset_name,asset_class,cause,confidence_or_status,research_status,decision_reason,source_urls
cur-novoshakhtinsk-2024-03,2024-03,RU-ROS,Novoshakhtinsk refinery,refinery,kinetic_strike,probable,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/explosions-reported-at-novoshakhtinsk-oil-refinery-in-russias-rostov-oblast/
cur-novoshakhtinsk-2024-07,2024-07,RU-ROS,Novoshakhtinsk refinery,refinery,kinetic_strike,probable,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/drone-strike-sparks-blaze-at-oil-refinery-in-russias-rostov-oblast/
cur-novoshakhtinsk-2024-12-19,2024-12-19,RU-ROS,Novoshakhtinsk refinery,refinery,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://kyivindependent.com/explosions-reported-at-novoshakhtinsk-oil-refinery-in-russias-rostov-oblast/
cur-novoshakhtinsk-2025-08-21,2025-08-21,RU-ROS,Novoshakhtinsk refinery,refinery,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.themoscowtimes.com/2025/08/26/fire-at-rostov-oil-refinery-extinguished-nearly-a-week-after-ukrainian-drone-attack-a90349
cur-novoshakhtinsk-2026-08-25,2026-08-25,RU-ROS,Novoshakhtinsk refinery,refinery,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.eng.kavkaz-uzel.eu/articles/78027
cur-orsk-2026-08-11,2026-08-11,RU-ORE,Orsk refinery (Orsknefteorgsintez),refinery,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://english.nv.ua/russian-war/russian-orsk-refinery-halts-operations-after-ukrainian-drone-strike-reuters-50632031.html
cur-mariysky-2025-10-29,2025-10-29,RU-ME,Mariysky refinery,refinery,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.qcintel.com/article/ukrainian-drones-target-mari-el-ulyanovsk-refineries-in-russia-51655.html
cur-naftan-2025-11,2025-11,BY-VI,Naftan refinery (Novopolotsk),refinery,technical,confirmed,accepted,"net-new, credibly sourced, in-scope",https://www.hydrocarbonprocessing.com/news/2025/11/fire-at-belarusian-oil-refinery-naftan-has-been-put-out/
cur-nikolskoye-2025-08-18,2025-08-18,RU-TAM,Nikolskoye oil pumping station (Druzhba),pipeline_oil,kinetic_strike,confirmed,accepted,"net-new, credibly sourced, in-scope",https://english.nv.ua/russian-war/ukraine-drone-strike-halts-russian-druzhba-oil-pumping-station-in-tambov-region-50538055.html
cur-stalnoy-kon-2024-12,2024-12,RU-ORL,Stalnoy Kon LPDS (Druzhba),pipeline_oil,kinetic_strike,probable,accepted,"net-new, credibly sourced, in-scope",https://www.euronews.com/2024/12/23/ukrainian-drones-hit-russias-stalnoi-kon-oil-terminal-for-second-time-in-just-over-a-week
