source_id,name,publisher,role,sectors,asset_classes,url,licence,release_expectation,release_identifier,content_vintage,frozen_at,evidence_path,limitations
wikipedia_deep_strike,Deep strike campaign (English Wikipedia),Wikipedia contributors,events,refining|oil_logistics|electric_generation|transmission|gas|coal,,https://en.wikipedia.org/wiki/Deep_strike_campaign,CC BY-SA 4.0,live,,continuously edited,,data/raw/wiki_deep_strike.json,Community-edited and continuously revised; an event can be added or withdrawn at any time|Publishes a range-to-target column that this project deliberately never reads|Dates are sometimes given only to the month
wikipedia_refineries,List of oil refineries (English Wikipedia),Wikipedia contributors,denominator,refining|oil_logistics,oil_refinery,https://en.wikipedia.org/wiki/List_of_oil_refineries,CC BY-SA 4.0,live,,continuously edited,,data/raw/wiki_refineries.json,Capacity figures are undated and of mixed vintage|Russia-only listing while the monitored area also covers Belarus and Crimea
wikipedia_fuel_crisis,2025-2026 Russian fuel crisis (English Wikipedia),Wikipedia contributors,benchmark,refining|oil_logistics,,https://en.wikipedia.org/wiki/2025%E2%80%932026_Russian_fuel_crisis,CC BY-SA 4.0,live,,continuously edited,,data/raw/wiki_fuel_crisis.json,Provides a reported strike COUNT only; the individual events behind most of it are not enumerated anywhere public
wri_gppd,Global Power Plant Database v1.3.0,World Resources Institute,denominator,electric_generation,thermal_power_plant|nuclear_power_plant|hydroelectric_dam|other_generation,https://datasets.wri.org/dataset/globalpowerplantdatabase,CC BY 4.0,versioned,v1.3.0,2018 newest Russian commissioning year; no retirement field,2022-01-26,,"Over-counts plants retired after 2018 and misses plants commissioned after 2018|Has no retirement field at all, so a closed plant stays in the base|See docs/GENERATION_DENOMINATOR_AUDIT.md for the measured effect"
osm_grid,OpenStreetMap grid and pipeline features (Overpass),OpenStreetMap contributors,inventory,transmission|gas|oil_logistics,major_substation|transmission_line|gas_pipeline|oil_pipeline,https://www.openstreetmap.org,ODbL,live,,live database,,data/raw/osm_substation.json,Completeness varies sharply by region and is not measurable from within the data|Voltage and operator tags are frequently absent
osm_pipeline_routes,OpenStreetMap pipeline route relations (Overpass),OpenStreetMap contributors,network_context,,gas_pipeline|oil_pipeline,https://www.openstreetmap.org,ODbL,live,,live database,,data/raw/osm_pipeline_relations.json,Context only - never scored and never counted as an incident|Route geometry quality ranges from 5000-vertex corridors to 3-point placeholders under identical tags
gem_ggit,Global Gas Infrastructure Tracker,Global Energy Monitor,network_context,gas,gas_pipeline,https://globalenergymonitor.org/projects/global-gas-infrastructure-tracker/,CC BY 4.0,versioned,,live backend export with no release identifier,,data/vendor/gem/MANIFEST.json,Imported from the public map-data branch generated from a live backend sheet: it has NO release identifier and changes daily|Not a citable release|Omits null-geometry parent rows
gem_goit,Global Oil Infrastructure Tracker,Global Energy Monitor,network_context,oil_logistics,oil_pipeline,https://globalenergymonitor.org/projects/global-oil-infrastructure-tracker/,CC BY 4.0,versioned,,live backend export with no release identifier,,data/vendor/gem/MANIFEST.json,Imported from the public map-data branch generated from a live backend sheet: it has NO release identifier and changes daily|Not a citable release
entsog,ENTSOG Transparency Platform interconnections,ENTSOG,network_context,gas,gas_pipeline,https://transparency.entsog.eu,ENTSOG Transparency Platform terms; attribution required,live,,live API with no release identifier,,data/vendor/entsog/MANIFEST.json,"Live API with no release identifier - a retrieval snapshot, never a dated publication|Turkey is not an ENTSOG member, so the TurkStream and Blue Stream Turkish landfalls do not appear|Schematic diagram coordinates (tpMapX/tpMapY) exist in the feed and are never read as geography"
natural_earth,Natural Earth administrative boundaries and rivers,Natural Earth,geography,,,https://www.naturalearthdata.com,Public domain,versioned,,1:10m and 1:50m cultural and physical vectors,,data/raw/ne_10m_admin_1.geojson,"Generalised boundaries suitable for display, not for area calculation"
curated_refineries,Curated refinery registry,this project,denominator,refining|oil_logistics,oil_refinery,,internal curation from cited public sources,internal,,maintained per incident,,data/curated/refineries_canonical.csv,Assembled from public reporting; completeness is stated in refinery_reconciliation rather than assumed
curated_incidents,Curated incident records,this project,events,refining|oil_logistics|electric_generation|transmission|gas|coal,,,internal curation from cited public sources,internal,,maintained per incident,,data/curated/incidents.csv,Every record carries its own sources; nothing enters unsourced
curated_recovery,Curated recovery evidence,this project,recovery,refining|oil_logistics|electric_generation|transmission,,,internal curation from cited public sources,internal,,maintained per episode,,data/curated/recovery.csv,"Observed restorations are far rarer than events, so most recovery is modelled rather than observed"
crea,CREA monthly analysis of Russian fossil fuel exports,Centre for Research on Energy and Clean Air,economic_context,,,https://energyandcleanair.org,CC BY 4.0,versioned,,monthly reporting with later revisions,,data/curated/crea_snapshots.csv,Observed economic context only - never attributed to infrastructure strikes|Monthly figures are revised after first publication
